prompt_id,prompt,sample_id,overall,overall_loose,shape,color,exist_binding,unique_binding,spatial_relationship,spatial_relationship_loose,Dx,Dy,x1,y1,x2,y2,layer,head,head_label,pair_idx,condition,clean_prompt,corrupt_prompt
0,blue circle is above red square,0,True,True,True,True,True,True,True,True,1.0,-39.0,30.0,30.0,29.0,69.0,1,2,L1H2,0,clean,blue circle is above red square,blue circle is below red square
0,blue circle is above red square,1,True,True,True,True,True,True,True,True,2.0,-26.0,97.0,63.0,95.0,89.0,1,2,L1H2,0,clean,blue circle is above red square,blue circle is below red square
0,blue circle is above red square,2,True,True,True,True,True,True,True,True,2.0,-27.0,28.0,63.0,26.0,90.0,1,2,L1H2,0,clean,blue circle is above red square,blue circle is below red square
0,blue circle is above red square,3,True,True,True,True,True,True,True,True,3.0,-44.0,47.0,18.0,44.0,62.0,1,2,L1H2,0,clean,blue circle is above red square,blue circle is below red square
0,blue circle is above red square,4,True,True,True,True,True,True,True,True,2.0,-33.0,99.0,55.0,97.0,88.0,1,2,L1H2,0,clean,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,0,False,False,False,False,False,False,False,False,,,,,,,1,2,L1H2,0,corrupt,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,1,False,False,True,True,True,True,False,False,2.0,51.0,98.0,95.0,96.0,44.0,1,2,L1H2,0,corrupt,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,2,False,False,True,True,True,True,False,False,4.0,62.0,46.0,100.0,42.0,38.0,1,2,L1H2,0,corrupt,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,3,False,False,True,True,True,True,False,False,2.0,75.0,32.0,103.0,30.0,28.0,1,2,L1H2,0,corrupt,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,4,False,False,True,True,True,True,False,False,0.0,30.0,98.0,113.0,98.0,83.0,1,2,L1H2,0,corrupt,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,0,False,False,False,False,False,False,False,False,,,,,,,1,2,L1H2,0,patched,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,1,False,False,False,False,False,False,False,False,,,,,,,1,2,L1H2,0,patched,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,2,False,False,True,True,True,True,False,False,5.0,64.0,47.0,102.0,42.0,38.0,1,2,L1H2,0,patched,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,3,False,False,True,True,True,True,False,False,7.0,58.0,38.0,102.0,31.0,44.0,1,2,L1H2,0,patched,blue circle is above red square,blue circle is below red square
0,blue circle is below red square,4,False,False,False,True,False,False,False,False,,,,,,,1,2,L1H2,0,patched,blue circle is above red square,blue circle is below red square
0,blue circle is above and to the left of red square,0,False,True,True,True,True,True,False,True,-73.0,-66.0,28.0,28.0,101.0,94.0,1,2,L1H2,1,clean,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is above and to the left of red square,1,False,True,True,True,True,True,False,True,-51.0,-51.0,48.0,59.0,99.0,110.0,1,2,L1H2,1,clean,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is above and to the left of red square,2,False,True,True,True,True,True,False,True,-50.0,-41.0,26.0,62.0,76.0,103.0,1,2,L1H2,1,clean,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is above and to the left of red square,3,False,True,True,True,True,True,False,True,-38.0,-60.0,40.0,26.0,78.0,86.0,1,2,L1H2,1,clean,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is above and to the left of red square,4,False,True,True,True,True,True,False,True,-46.0,-58.0,53.0,26.0,99.0,84.0,1,2,L1H2,1,clean,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,0,False,False,True,True,True,True,False,False,30.0,42.0,106.0,92.0,76.0,50.0,1,2,L1H2,1,corrupt,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,1,False,False,True,True,True,True,False,False,80.0,36.0,102.0,82.0,22.0,46.0,1,2,L1H2,1,corrupt,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,2,False,False,True,True,True,True,False,False,36.0,51.0,72.0,82.0,36.0,31.0,1,2,L1H2,1,corrupt,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,3,False,False,True,True,True,True,False,False,43.0,78.0,80.0,106.0,37.0,28.0,1,2,L1H2,1,corrupt,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,4,False,False,True,True,True,True,False,False,72.0,47.0,103.0,67.0,31.0,20.0,1,2,L1H2,1,corrupt,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,0,False,False,True,True,True,True,False,False,21.0,23.0,107.0,91.0,86.0,68.0,1,2,L1H2,1,patched,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,1,False,False,True,True,True,True,False,False,23.0,25.0,95.0,69.0,72.0,44.0,1,2,L1H2,1,patched,blue circle is above and to the left of red square,blue circle is below and to the right of red square
0,blue circle is below and to the right of red square,2,False,False,True,True,True,True,False,False,34.0,49.0,70.0,80.0,36.0,31.0,1,2,L1H2,1,patched,blue circle is above and to the left of red square,blue circle is below and to the right of red square
